page	left	top	code
1	581	410	
1	479	596	      numerals
1	476	634	
1	493	801	
1	580	851	
1	505	981	
1	580	981	
1	691	1000	       repos =
1	527	1049	
1	571	1068	
1	594	1099	
2	463	435	
3	465	166	
3	525	216	
4	530	117	
4	529	253	
4	511	835	
4	532	903	
5	460	177	
5	532	177	
5	528	595	
5	502	1025	
6	508	559	
6	549	608	
6	459	844	
6	554	1044	
6	523	1074	
7	584	136	
7	645	859	 TEST_MC_CORES
7	637	915	
8	511	180	
8	520	242	
8	557	310	
8	706	379	         NAMED
8	460	466	
8	217	717	     License: X11
8	495	754	
9	460	200	
9	706	369	         R CMD
9	523	543	
9	668	890	    pkg-config
10	685	212	      fround()
10	480	360	
10	559	360	
10	554	410	
10	483	847	
10	572	1008	
11	558	325	
11	609	668	
11	477	765	
11	527	959	
11	489	1104	
12	492	333	
13	504	296	       value =
14	530	309	
14	581	370	
14	533	550	
15	465	148	
15	566	247	
15	497	663	
15	560	663	
