page	left	top	code
1	599	296	
1	478	364	
1	536	864	
1	484	1047	
1	630	1047	
2	560	731	
2	493	905	
2	606	1122	
2	528	1141	
3	510	412	
3	548	851	
3	568	907	
4	511	103	
4	478	240	
4	479	289	
4	545	308	
4	582	308	
4	465	364	
4	519	364	
4	561	364	
4	669	550	    bibstyle()
4	529	897	
4	499	928	
5	541	407	
5	500	575	
5	497	786	
6	534	170	
6	503	238	
6	545	354	
6	536	373	
6	591	535	
6	549	652	
6	476	811	
6	522	976	
7	517	731	
7	529	960	
7	639	960	
8	572	532	
8	535	1031	
9	578	209	
9	474	382	
9	502	733	
9	588	733	
9	490	894	
9	560	1005	
9	527	1043	
10	654	155	  .First.lib()
10	224	344	     Biarch: yes
10	706	478	         R CMD
10	486	864	
10	700	1041	        data()
10	533	1060	
10	528	1090	
11	520	122	
11	501	448	
11	460	509	
11	565	559	      tapply()
11	503	689	
11	493	720	
11	501	880	
12	630	103	
12	485	171	
12	479	221	
12	217	530	     License: X11
13	630	140	
13	567	501	
13	488	729	  R_GE_str2col
13	461	1109	
14	662	122	   .libPaths()
14	676	390	     configure
14	539	925	
15	569	103	
15	502	313	
15	503	500	
15	509	698	
15	566	748	
16	522	103	
16	505	357	
16	698	534	        Rtools
16	515	630	
16	540	757	
17	538	315	
17	535	445	
17	529	495	
17	463	916	
18	562	103	
18	522	152	
18	463	301	
