page	left	top	code
1	82	999	> library(tmvtnorm)
1	82	1016	> mu <- c(0.5, 0.5)
1	82	1032	> sigma <- matrix(c(1, 0.8, 0.8, 2), 2, 2)
1	82	1048	> a <- c(-1, -Inf)
1	82	1065	> b <- c(0.5, 4)
2	459	254	> X2 <- rtmvnorm(n=10000, mean=mu,
2	459	271	> sigma=sigma, lower=a, upper=b,
2	459	287	> algorithm="gibbs", burn.in.samples=100,
2	459	304	> thinning = 5)
2	459	320	> acf(X2)
